,관리제외지역 비율(%)_면적비,생활폐기물 관리구역_동(읍·면)수,관리제외지역 비율(%)_동(읍·면)수,관리제외지역 비율(%)_세대수(가구),전체 행정구역_동(읍·면)수,구분_시군구,전체 행정구역_면적(㎢),생활폐기물관리제외지역_세대수(가구),생활폐기물관리제외지역_인구(명),생활폐기물 관리구역_인구(명),생활폐기물관리제외지역_면적(㎢),생활폐기물관리제외지역_동(읍·면)수,생활폐기물 관리구역_면적(㎢),전체 행정구역_인구(명),관리제외지역 비율(%)_연구비,전체 행정구역_세대수(가구),생활폐기물 관리구역_세대수(가구),구분_시도
0,0.0,17,0.0,0.0,17,종로구,23.91,0,0,153589,0.0,0,23.91,153589,0.0,72118,72118,서울
1,0.0,15,0.0,0.0,15,중구,9.96,0,0,133240,0.0,0,9.96,133240,0.0,59651,59651,서울
2,0.0,16,0.0,0.0,16,용산구,21.87,0,0,245102,0.0,0,21.87,245102,0.0,106607,106607,서울
3,0.0,17,0.0,0.0,17,성동구,16.86,0,0,307161,0.0,0,16.86,307161,0.0,128727,128727,서울
4,0.0,15,0.0,0.0,15,광진구,17.06,0,0,378161,0.0,0,17.06,378161,0.0,158390,158390,서울
5,0.0,14,0.0,0.0,14,동대문구,14.21,0,0,360153,0.0,0,14.21,360153,0.0,159426,159426,서울
6,0.0,16,0.0,0.0,16,중랑구,18.5,0,0,418476,0.0,0,18.5,418476,0.0,177400,177400,서울
7,0.0,20,0.0,0.0,20,성북구,24.58,0,0,464023,0.0,0,24.58,464023,0.0,188304,188304,서울
8,0.0,13,0.0,0.0,13,강북구,23.6,0,0,330734,0.0,0,23.6,330734,0.0,141229,141229,서울
9,0.0,14,0.0,0.0,14,도봉구,20.67,0,0,350272,0.0,0,20.67,350272,0.0,136898,136898,서울
10,0.0,19,0.0,0.0,19,노원구,35.44,0,0,569384,0.0,0,35.44,569384,0.0,219736,219736,서울
11,0.0,16,0.0,0.0,16,은평구,29.7,0,0,495937,0.0,0,29.7,495937,0.0,201891,201891,서울
12,0.0,14,0.0,0.0,14,서대문구,17.61,0,0,325871,0.0,0,17.61,325871,0.0,136766,136766,서울
13,0.0,16,0.0,0.0,16,마포구,23.84,0,0,402513,0.0,0,23.84,402513,0.0,169432,169432,서울
14,0.0,18,0.0,0.0,18,양천구,17.41,0,0,481845,0.0,0,17.41,481845,0.0,177434,177434,서울
15,0.0,20,0.0,0.0,20,강서구,41.44,0,0,602104,0.0,0,41.44,602104,0.0,245045,245045,서울
16,0.0,15,0.0,0.0,15,구로구,20.12,0,0,418480,0.0,0,20.12,418480,0.0,172220,172220,서울
17,0.0,10,0.0,0.0,10,금천구,13.02,0,0,265552,0.0,0,13.02,265552,0.0,104483,104483,서울
18,0.0,18,0.0,0.0,18,영등포구,24.53,0,0,406779,0.0,0,24.53,406779,0.0,165729,165729,서울
19,0.0,15,0.0,0.0,15,동작구,16.35,0,0,401408,0.0,0,16.35,401408,0.0,172506,172506,서울
20,0.0,21,0.0,0.0,21,관악구,29.57,0,0,525607,0.0,0,29.57,525607,0.0,251955,251955,서울
21,0.0,18,0.0,0.0,18,서초구,46.98,0,0,451477,0.0,0,46.98,451477,0.0,173970,173970,서울
22,0.0,22,0.0,0.0,22,강남구,39.5,0,0,572140,0.0,0,39.5,572140,0.0,234080,234080,서울
23,0.0,27,0.0,0.0,27,송파구,33.88,0,0,664946,0.0,0,33.88,664946,0.0,258382,258382,서울
24,0.0,18,0.0,0.0,18,강동구,24.59,0,0,449019,0.0,0,24.59,449019,0.0,177460,177460,서울
25,0.0,9,0.0,0.0,9,중구,2.83,0,0,47117,0.0,0,2.83,47117,0.0,23282,23282,부산
26,0.0,13,0.0,0.0,13,서구,13.96,0,0,114752,0.0,0,13.96,114752,0.0,52497,52497,부산
27,0.0,12,0.0,0.0,12,동구,9.74,0,0,91807,0.0,0,9.74,91807,0.0,43036,43036,부산
28,0.0,11,0.0,0.0,11,영도구,14.19,0,0,128259,0.0,0,14.19,128259,0.0,55893,55893,부산
29,0.0,20,0.0,0.0,20,부산진구,29.68,0,0,379309,0.0,0,29.68,379309,0.0,165238,165238,부산
30,0.0,13,0.0,0.0,13,동래구,16.63,0,0,273939,0.0,0,16.63,273939,0.0,107917,107917,부산
31,0.0,17,0.0,0.0,17,남구,26.81,0,0,283070,0.0,0,26.81,283070,0.0,113791,113791,부산
32,0.0,13,0.0,0.0,13,북구,39.36,0,0,312098,0.0,0,39.36,312098,0.0,120707,120707,부산
33,0.0,18,0.0,0.0,18,해운대구,51.47,0,0,425036,0.0,0,51.47,425036,0.0,165290,165290,부산
34,0.0,16,0.0,0.0,16,사하구,41.75,0,0,339620,0.0,0,41.75,339620,0.0,135641,135641,부산
35,0.0,17,0.0,0.0,17,금정구,65.27,0,0,248908,0.0,0,65.27,248908,0.0,102522,102522,부산
36,0.0,7,0.0,0.0,7,강서구,181.48,0,0,114749,0.0,0,181.48,114749,0.0,44112,44112,부산
37,0.0,12,0.0,0.0,12,연제구,12.1,0,0,208211,0.0,0,12.1,208211,0.0,84398,84398,부산
38,0.0,10,0.0,0.0,10,수영구,10.21,0,0,181016,0.0,0,10.21,181016,0.0,77733,77733,부산
39,0.0,12,0.0,0.0,12,사상구,36.09,0,0,238108,0.0,0,36.09,238108,0.0,96403,96403,부산
40,0.0,5,0.0,0.0,5,기장군,218.32,0,0,160888,0.0,0,218.32,160888,0.0,62810,62810,부산
41,0.0,12,0.0,0.0,12,중구,7.06,0,0,80497,0.0,0,7.06,80497,0.0,37987,37987,대구
42,0.0,20,0.0,0.0,20,동구,182.18,0,0,353140,0.0,0,182.18,353140,0.0,147154,147154,대구
43,0.0,17,0.0,0.0,17,서구,17.33,0,0,201981,0.0,0,17.33,201981,0.0,88468,88468,대구
44,0.0,13,0.0,0.0,13,남구,17.44,0,0,157843,0.0,0,17.44,157843,0.0,73979,73979,대구
45,0.0,23,0.0,0.0,23,북구,94.08,0,0,445230,0.0,0,94.08,445230,0.0,171181,171181,대구
46,0.0,23,0.0,0.0,23,수성구,76.46,0,0,448548,0.0,0,76.46,448548,0.0,165392,165392,대구
47,0.0,22,0.0,0.0,22,달서구,62.34,0,0,600510,0.0,0,62.34,600510,0.0,225643,225643,대구
48,0.0,9,0.0,0.0,9,달성군,426.68,0,0,223585,0.0,0,426.68,223585,0.0,84416,84416,대구
49,0.0,8,0.0,0.0,8,군위군,614.27,0,0,24787,0.0,0,614.27,24787,0.0,12428,12428,대구
50,7.3,11,0.0,0.9,11,중구,140.19,473,834,118600,10.29,0,129.9,119434,0.7,52218,51745,인천
51,0.0,11,0.0,0.0,11,동구,7.19,0,0,71915,0.0,0,7.19,71915,0.0,30081,30081,인천
52,0.0,21,0.0,0.0,21,미추홀구,24.84,0,0,424869,0.0,0,24.84,424869,0.0,178444,178444,인천
53,0.0,13,0.0,0.0,13,연수구,54.95,0,0,336256,0.0,0,54.95,336256,0.0,120580,120580,인천
54,0.0,19,0.0,0.0,19,남동구,57.05,0,0,543038,0.0,0,57.05,543038,0.0,209885,209885,인천
55,0.0,22,0.0,0.0,22,부평구,32.0,0,0,560649,0.0,0,32.0,560649,0.0,216492,216492,인천
56,0.0,12,0.0,0.0,12,계양구,45.57,0,0,333344,0.0,0,45.57,333344,0.0,126963,126963,인천
57,0.0,21,0.0,0.0,21,서구,116.9,0,0,522360,0.0,0,116.9,522360,0.0,194008,194008,인천
58,0.0,13,0.0,0.0,13,강화군,411.43,0,0,68785,0.0,0,411.43,68785,0.0,31106,31106,인천
59,4.1,7,0.0,1.0,7,옹진군,172.48,114,196,21326,7.0,0,165.48,21522,0.9,11622,11508,인천
60,0.0,13,0.0,0.0,13,동구,49.32,0,0,97045,0.0,0,49.32,97045,0.0,45095,45095,광주
61,0.0,18,0.0,0.0,18,서구,47.78,0,0,311281,0.0,0,47.78,311281,0.0,123500,123500,광주
62,0.0,16,0.0,0.0,16,남구,60.98,0,0,221189,0.0,0,60.98,221189,0.0,87879,87879,광주
63,0.0,27,0.0,0.0,27,북구,120.3,0,0,445663,0.0,0,120.3,445663,0.0,178956,178956,광주
64,0.0,21,0.0,0.0,21,광산구,222.86,0,0,413956,0.0,0,222.86,413956,0.0,151034,151034,광주
65,0.0,16,0.0,0.0,16,동구,136.66,0,0,238529,0.0,0,136.66,238529,0.0,100398,100398,대전
66,0.0,17,0.0,0.0,17,중구,62.14,0,0,256186,0.0,0,62.14,256186,0.0,103681,103681,대전
67,53.9,23,0.0,0.1,23,서구,95.5,192,589,491519,51.5,0,44.0,492108,0.1,192834,192642,대전
68,0.0,11,0.0,0.0,11,유성구,176.37,0,0,349107,0.0,0,176.37,349107,0.0,132464,132464,대전
69,0.0,12,0.0,0.0,12,대덕구,68.68,0,0,195034,0.0,0,68.68,195034,0.0,76760,76760,대전
70,0.0,13,0.0,0.0,13,중구,37.0,0,0,244954,0.0,0,37.0,244954,0.0,95673,95673,울산
71,0.0,14,0.0,0.0,14,남구,73.05,0,0,346201,0.0,0,73.05,346201,0.0,134140,134140,울산
72,0.0,9,0.0,0.0,9,동구,36.04,0,0,179333,0.0,0,36.04,179333,0.0,68548,68548,울산
73,0.0,8,0.0,0.0,8,북구,157.33,0,0,197882,0.0,0,157.33,197882,0.0,69693,69693,울산
74,1.8,12,0.0,0.1,12,울주군,757.37,46,92,227299,14.0,0,743.37,227391,0.0,87298,87252,울산
75,0.0,14,0.0,0.0,14,세종특별자치시,464.87,0,0,246792,0.0,0,464.87,246792,0.0,94343,94343,세종
76,0.0,42,0.0,0.0,42,수원시,121.05,0,0,1231224,0.0,0,121.05,1231224,0.0,472194,472194,경기
77,0.0,50,0.0,0.0,50,성남시,141.66,0,0,1002634,0.0,0,141.66,1002634,0.0,394087,394087,경기
78,0.0,15,0.0,0.0,15,의정부시,81.54,0,0,442303,0.0,0,81.54,442303,0.0,175948,175948,경기
79,0.0,31,0.0,0.0,31,안양시,58.5,0,0,604652,0.0,0,58.5,604652,0.0,225163,225163,경기
80,0.0,36,0.0,0.0,36,부천시,53.44,0,0,871785,0.0,0,53.44,871785,0.0,331797,331797,경기
81,0.0,18,0.0,0.0,18,광명시,38.52,0,0,345403,0.0,0,38.52,345403,0.0,127461,127461,경기
82,0.0,22,0.0,0.0,22,평택시,458.08,0,0,490767,0.0,0,458.08,490767,0.0,195970,195970,경기
83,0.0,8,0.0,0.0,8,동두천시,95.67,0,0,101403,0.0,0,95.67,101403,0.0,42455,42455,경기
84,0.0,25,0.0,0.0,25,안산시,154.23,0,0,744356,0.0,0,154.23,744356,0.0,280524,280524,경기
85,0.0,39,0.0,0.0,39,고양시,268.1,0,0,1051970,0.0,0,268.1,1051970,0.0,401772,401772,경기
86,0.0,6,0.0,0.0,6,과천시,35.87,0,0,64013,0.0,0,35.87,64013,0.0,23454,23454,경기
87,0.0,8,0.0,0.0,8,구리시,33.31,0,0,193763,0.0,0,33.31,193763,0.0,74499,74499,경기
88,0.0,16,0.0,0.0,16,남양주시,458.05,0,0,668696,0.0,0,458.05,668696,0.0,251335,251335,경기
89,0.0,6,0.0,0.0,6,오산시,42.73,0,0,216718,0.0,0,42.73,216718,0.0,82581,82581,경기
90,0.0,17,0.0,0.0,17,시흥시,135.8,0,0,443459,0.0,0,135.8,443459,0.0,159978,159978,경기
91,0.0,11,0.0,0.0,11,군포시,36.41,0,0,294291,0.0,0,36.41,294291,0.0,106646,106646,경기
92,0.0,6,0.0,0.0,6,의왕시,53.99,0,0,157996,0.0,0,53.99,157996,0.0,58808,58808,경기
93,0.0,13,0.0,0.0,13,하남시,93.03,0,0,212941,0.0,0,93.03,212941,0.0,84289,84289,경기
94,0.0,31,0.0,0.0,31,용인시,591.34,0,0,1008012,0.0,0,591.34,1008012,0.0,363559,363559,경기
95,0.0,20,0.0,0.0,20,파주시,672.83,0,0,440999,0.0,0,672.83,440999,0.0,175089,175089,경기
96,0.0,14,0.0,0.0,14,이천시,461.38,0,0,216831,0.0,0,461.38,216831,0.0,84339,84339,경기
97,0.0,15,0.0,0.0,15,안성시,553.39,0,0,192747,0.0,0,553.39,192747,0.0,76291,76291,경기
98,0.0,13,0.0,0.0,13,김포시,276.6,0,0,381278,0.0,0,276.6,381278,0.0,139498,139498,경기
99,0.0,24,0.0,0.0,24,화성시,693.92,0,0,661691,0.0,0,693.92,661691,0.0,245921,245921,경기
100,0.0,10,0.0,0.0,10,광주시,431.02,0,0,339837,0.0,0,431.02,339837,0.0,131303,131303,경기
101,0.0,11,0.0,0.0,11,양주시,310.34,0,0,212811,0.0,0,310.34,212811,0.0,80790,80790,경기
102,0.0,14,0.0,0.0,14,포천시,826.57,0,0,166679,0.0,0,826.57,166679,0.0,68354,68354,경기
103,0.0,12,0.0,0.0,12,여주시,608.37,0,0,114048,0.0,0,608.37,114048,0.0,47889,47889,경기
104,0.0,10,0.0,0.0,10,연천군,676.32,0,0,46886,0.0,0,676.32,46886,0.0,21656,21656,경기
105,0.0,6,0.0,0.0,6,가평군,843.71,0,0,63085,0.0,0,843.71,63085,0.0,29212,29212,경기
106,0.0,12,0.0,0.0,12,양평군,877.69,0,0,112880,0.0,0,877.69,112880,0.0,50544,50544,경기
107,0.0,43,0.0,0.0,43,청주시,940.33,0,0,846949,0.0,0,940.33,846949,0.0,341596,341596,충북
108,0.0,25,0.0,0.0,25,충주시,983.55,0,0,213075,0.0,0,983.55,213075,0.0,88900,88900,충북
109,0.0,17,0.0,0.0,17,제천시,883.54,0,0,136656,0.0,0,883.54,136656,0.0,60946,60946,충북
110,0.0,11,0.0,0.0,11,보은군,584.3,0,0,34732,0.0,0,584.3,34732,0.0,16304,16304,충북
111,2.9,9,0.0,0.7,9,옥천군,537.12,163,302,52741,15.8,0,521.32,53043,0.6,23092,22929,충북
112,0.0,11,0.0,0.0,11,영동군,845.84,0,0,51106,0.0,0,845.84,51106,0.0,23840,23840,충북
113,0.0,2,0.0,0.0,2,증평군,81.81,0,0,37996,0.0,0,81.81,37996,0.0,16238,16238,충북
114,0.0,7,0.0,0.0,7,진천군,407.24,0,0,75267,0.0,0,407.24,75267,0.0,30746,30746,충북
115,0.0,11,0.0,0.0,11,괴산군,842.19,0,0,39663,0.0,0,842.19,39663,0.0,19905,19905,충북
116,0.0,9,0.0,0.0,9,음성군,520.26,0,0,106419,0.0,0,520.26,106419,0.0,44649,44649,충북
117,0.0,8,0.0,0.0,8,단양군,781.11,0,0,30746,0.0,0,781.11,30746,0.0,14744,14744,충북
118,0.0,30,0.0,0.0,30,천안시,636.07,0,0,635783,0.0,0,636.07,635783,0.0,254676,254676,충남
119,0.0,16,0.0,0.0,16,공주시,864.19,0,0,111485,0.0,0,864.19,111485,0.0,48835,48835,충남
120,4.0,16,0.0,3.4,16,보령시,573.78,1597,3213,103288,23.13,0,550.65,106501,3.0,47011,45414,충남
121,0.0,17,0.0,0.0,17,아산시,542.24,0,0,317599,0.0,0,542.24,317599,0.0,124223,124223,충남
122,0.1,15,0.0,0.2,15,서산시,741.21,112,198,174564,1.1,0,740.11,174762,0.1,70991,70879,충남
123,0.0,15,0.0,0.0,15,논산시,554.75,0,0,127022,0.0,0,554.75,127022,0.0,56347,56347,충남
124,0.0,4,0.0,0.0,4,계룡시,60.72,0,0,42838,0.0,0,60.72,42838,0.0,14858,14858,충남
125,0.0,14,0.0,0.0,14,당진시,704.26,0,0,171870,0.0,0,704.26,171870,0.0,73434,73434,충남
126,0.0,10,0.0,0.0,10,금산군,577.18,0,0,56606,0.0,0,577.18,56606,0.0,25342,25342,충남
127,0.0,16,0.0,0.0,16,부여군,624.53,0,0,71362,0.0,0,624.53,71362,0.0,32903,32903,충남
128,0.2,13,0.0,0.2,13,서천군,365.62,54,89,57226,0.77,0,364.85,57315,0.2,26583,26529,충남
129,0.0,10,0.0,0.0,10,청양군,479.2,0,0,33324,0.0,0,479.2,33324,0.0,15668,15668,충남
130,0.0,11,0.0,0.0,11,홍성군,443.99,0,0,102075,0.0,0,443.99,102075,0.0,43555,43555,충남
131,0.0,12,0.0,0.0,12,예산군,542.62,0,0,83371,0.0,0,542.62,83371,0.0,37251,37251,충남
132,0.0,8,0.0,0.0,8,태안군,515.78,0,0,65157,0.0,0,515.78,65157,0.0,30617,30617,충남
133,0.0,33,0.0,0.0,33,전주시,205.53,0,0,658369,0.0,0,205.53,658369,0.0,258006,258006,전북
134,6.0,26,3.7,1.6,27,군산시,396.17,1867,4391,278525,23.88,1,372.29,282916,1.6,115329,113462,전북
135,0.0,29,0.0,0.0,29,익산시,506.54,0,0,305031,0.0,0,506.54,305031,0.0,123675,123675,전북
136,0.0,23,0.0,0.0,23,정읍시,692.86,0,0,117318,0.0,0,692.86,117318,0.0,52330,52330,전북
137,0.0,23,0.0,0.0,23,남원시,752.21,0,0,85140,0.0,0,752.21,85140,0.0,37529,37529,전북
138,0.0,19,0.0,0.0,19,김제시,545.87,0,0,89206,0.0,0,545.87,89206,0.0,41601,41601,전북
139,0.0,13,0.0,0.0,13,완주군,820.98,0,0,97721,0.0,0,820.98,97721,0.0,41204,41204,전북
140,0.0,11,0.0,0.0,11,진안군,789.09,0,0,26398,0.0,0,789.09,26398,0.0,12654,12654,전북
141,0.0,6,0.0,0.0,6,무주군,631.85,0,0,25208,0.0,0,631.85,25208,0.0,11893,11893,전북
142,0.0,7,0.0,0.0,7,장수군,533.26,0,0,24016,0.0,0,533.26,24016,0.0,11123,11123,전북
143,0.0,12,0.0,0.0,12,임실군,597.34,0,0,30572,0.0,0,597.34,30572,0.0,14332,14332,전북
144,0.0,11,0.0,0.0,11,순창군,495.97,0,0,30313,0.0,0,495.97,30313,0.0,13819,13819,전북
145,0.0,14,0.0,0.0,14,고창군,607.85,0,0,61508,0.0,0,607.85,61508,0.0,28900,28900,전북
146,0.0,13,0.0,0.0,13,부안군,493.53,0,0,57682,0.0,0,493.53,57682,0.0,27689,27689,전북
147,0.0,23,0.0,0.0,23,목포시,51.64,0,637,240576,0.0,0,51.64,241213,0.3,101180,101180,전남
148,6.3,22,18.5,1.6,27,여수시,510.09,1918,4785,286581,32.38,5,477.71,291366,1.6,118910,116992,전남
149,0.0,24,0.0,0.0,24,순천시,910.98,0,0,280397,0.0,0,910.98,280397,0.0,109650,109650,전남
150,0.0,20,0.0,0.0,20,나주시,608.4,0,0,107348,0.0,0,608.4,107348,0.0,49378,49378,전남
151,0.0,12,0.0,0.0,12,광양시,463.13,0,0,157178,0.0,0,463.13,157178,0.0,61487,61487,전남
152,0.0,12,0.0,0.0,12,담양군,455.09,0,0,48300,0.0,0,455.09,48300,0.0,22334,22334,전남
153,0.0,11,0.0,0.0,11,곡성군,547.47,0,0,30795,0.0,0,547.47,30795,0.0,14960,14960,전남
154,1.4,8,0.0,0.5,8,구례군,443.25,60,102,27640,6.4,0,436.85,27742,0.4,12883,12823,전남
155,1.6,16,0.0,0.9,16,고흥군,807.35,295,484,68516,13.29,0,794.06,69000,0.7,34508,34213,전남
156,0.6,12,0.0,1.0,12,보성군,663.77,215,392,44570,4.1,0,659.67,44962,0.9,22449,22234,전남
157,0.0,13,0.0,0.0,13,화순군,786.9,0,0,66774,0.0,0,786.9,66774,0.0,29575,29575,전남
158,0.0,10,0.0,0.0,10,장흥군,622.47,0,0,43513,0.0,0,622.47,43513,0.0,20161,20161,전남
159,0.0,11,0.0,0.0,11,강진군,500.95,0,0,38175,0.0,0,500.95,38175,0.0,18414,18414,전남
160,0.3,14,0.0,0.6,14,해남군,1015.43,196,472,75987,3.5,0,1011.93,76459,0.6,35231,35035,전남
161,0.0,11,0.0,0.0,11,영암군,604.24,0,0,62983,0.0,0,604.24,62983,0.0,27190,27190,전남
162,0.1,9,0.0,0.1,9,무안군,449.74,29,51,83730,0.5,0,449.24,83781,0.1,35500,35471,전남
163,0.0,9,0.0,0.0,9,함평군,392.1,0,0,344408,0.0,0,392.1,344408,0.0,17591,17591,전남
164,2.5,10,9.1,1.5,11,영광군,475.01,384,628,55751,12.02,1,462.99,56379,1.1,26054,25670,전남
165,0.0,11,0.0,0.0,11,장성군,518.44,0,0,47218,0.0,0,518.44,47218,0.0,21557,21557,전남
166,8.3,12,0.0,5.6,12,완도군,396.44,1449,2683,52668,33.0,0,363.44,55351,4.8,25688,24239,전남
167,0.9,7,0.0,0.0,7,진도군,440.12,0,327,32078,4.09,0,436.03,32405,1.0,15911,15911,전남
168,17.1,14,0.0,9.6,14,신안군,655.78,2111,3765,39613,112.16,0,543.62,43378,8.7,22077,19966,전남
169,0.0,29,0.0,0.0,29,포항시,1130.01,0,0,522030,0.0,0,1130.01,522030,0.0,212095,212095,경북
170,0.0,23,0.0,0.0,23,경주시,1324.89,0,0,268928,0.0,0,1324.89,268928,0.0,113798,113798,경북
171,0.0,22,0.0,0.0,22,김천시,1009.24,0,0,144255,0.0,0,1009.24,144255,0.0,62202,62202,경북
172,0.0,24,0.0,0.0,24,안동시,1521.94,0,0,170133,0.0,0,1521.94,170133,0.0,73714,73714,경북
173,0.0,27,0.0,0.0,27,구미시,615.18,0,0,429047,0.0,0,615.18,429047,0.0,168487,168487,경북
174,0.0,19,0.0,0.0,19,영주시,669.43,0,0,110287,0.0,0,669.43,110287,0.0,48678,48678,경북
175,0.0,16,0.0,0.0,16,영천시,919.3,0,0,100648,0.0,0,919.3,100648,0.0,47509,47509,경북
176,0.0,24,0.0,0.0,24,상주시,1254.8,0,0,102464,0.0,0,1254.8,102464,0.0,46750,46750,경북
177,51.3,14,0.0,8.0,14,문경시,911.61,2772,6099,70340,468.0,0,443.61,76439,8.0,34643,31871,경북
178,0.0,15,0.0,0.0,15,경산시,411.74,0,0,266486,0.0,0,411.74,266486,0.0,107821,107821,경북
179,0.0,18,0.0,0.0,18,의성군,1175.14,0,0,54722,0.0,0,1175.14,54722,0.0,27440,27440,경북
180,0.0,8,0.0,0.0,8,청송군,846.06,0,0,26552,0.0,0,846.06,26552,0.0,13460,13460,경북
181,0.0,6,0.0,0.0,6,영양군,815.64,0,0,17929,0.0,0,815.64,17929,0.0,8800,8800,경북
182,0.0,9,0.0,0.0,9,영덕군,741.14,0,0,39973,0.0,0,741.14,39973,0.0,20185,20185,경북
183,0.0,9,0.0,0.0,9,청도군,693.79,0,0,44387,0.0,0,693.79,44387,0.0,21722,21722,경북
184,0.0,8,0.0,0.0,8,고령군,384.1,0,0,36439,0.0,0,384.1,36439,0.0,16215,16215,경북
185,0.0,10,0.0,0.0,10,성주군,616.13,0,0,46886,0.0,0,616.13,46886,0.0,21877,21877,경북
186,0.0,8,0.0,0.0,8,칠곡군,450.93,0,0,127298,0.0,0,450.93,127298,0.0,53695,53695,경북
187,0.0,12,0.0,0.0,12,예천군,661.38,0,0,46688,0.0,0,661.38,46688,0.0,22123,22123,경북
188,0.0,10,0.0,0.0,10,봉화군,1202.26,0,0,33808,0.0,0,1202.26,33808,0.0,16492,16492,경북
189,0.0,10,0.0,0.0,10,울진군,989.57,0,0,51885,0.0,0,989.57,51885,0.0,25186,25186,경북
190,96.8,3,0.0,1.9,3,울릉군,72.87,101,193,9960,70.57,0,2.3,10153,1.9,5323,5222,경북
191,0.1,62,0.0,0.0,62,창원시,747.67,104,211,1079922,0.91,0,746.76,1080133,0.0,417762,417658,경남
192,0.0,32,0.0,0.0,32,진주시,712.96,0,0,351279,0.0,0,712.96,351279,0.0,140748,140748,경남
193,14.4,15,0.0,2.4,15,통영시,239.8,1400,2472,140107,34.44,0,205.36,142579,1.7,59214,57814,경남
194,0.3,14,0.0,0.5,14,사천시,398.64,240,475,117569,1.3,0,397.34,118044,0.4,51012,50772,경남
195,0.0,19,0.0,0.0,19,김해시,463.36,0,0,547854,0.0,0,463.36,547854,0.0,200370,200370,경남
196,0.0,16,0.0,0.0,16,밀양시,798.64,0,0,109547,0.0,0,798.64,109547,0.0,50158,50158,경남
197,0.6,18,0.0,0.2,18,거제시,402.64,186,336,271025,2.49,0,400.15,271361,0.1,102413,102227,경남
198,0.0,13,0.0,0.0,13,양산시,485.45,0,0,322975,0.0,0,485.45,322975,0.0,125453,125453,경남
199,3.8,13,0.0,0.0,13,의령군,482.87,0,100,28880,18.19,0,464.68,28980,0.3,14419,14419,경남
200,0.0,10,0.0,0.0,10,함안군,416.6,0,0,72640,0.0,0,416.6,72640,0.0,31106,31106,경남
201,0.0,14,0.0,0.0,14,창녕군,532.86,0,0,66267,0.0,0,532.86,66267,0.0,30810,30810,경남
202,0.0,14,0.0,0.0,14,고성군,517.94,0,0,56413,0.0,0,517.94,56413,0.0,25853,25853,경남
203,0.4,10,0.0,0.3,10,남해군,357.57,65,109,45905,1.28,0,356.29,46014,0.2,22155,22090,경남
204,0.0,13,0.0,0.0,13,하동군,675.62,0,0,50151,0.0,0,675.62,50151,0.0,23704,23704,경남
205,0.0,11,0.0,0.0,11,산청군,794.82,0,0,36701,0.0,0,794.82,36701,0.0,18404,18404,경남
206,0.0,11,0.0,0.0,11,함양군,725.48,0,0,40668,0.0,0,725.48,40668,0.0,19598,19598,경남
207,0.0,12,0.0,0.0,12,거창군,803.18,0,0,63819,0.0,0,803.18,63819,0.0,28203,28203,경남
208,0.0,17,0.0,0.0,17,합천군,983.46,0,0,48537,0.0,0,983.46,48537,0.0,24302,24302,경남
209,0.0,26,0.0,0.0,26,제주시,978.43,0,0,483325,0.0,0,978.43,483325,0.0,192353,192353,제주
210,0.0,17,0.0,0.0,17,서귀포시,870.72,0,0,177865,0.0,0,870.72,177865,0.0,74619,74619,제주
211,0.0,25,0.0,0.0,25,춘천시,1116.41,0,0,283951,0.0,0,1116.41,283951,0.0,117014,117014,강원
212,0.0,25,0.0,0.0,25,원주시,868.28,0,0,341130,0.0,0,868.28,341130,0.0,142136,142136,강원
213,0.0,21,0.0,0.0,21,강릉시,1040.34,0,0,215751,0.0,0,1040.34,215751,0.0,94781,94781,강원
214,41.9,10,0.0,1.0,10,동해시,180.21,404,752,93804,75.54,0,104.67,94556,0.8,40468,40064,강원
215,33.0,6,25.0,1.6,8,태백시,303.47,365,831,46670,100.05,2,203.42,47501,1.7,22265,21900,강원
216,0.0,8,0.0,0.0,8,속초시,105.72,0,0,82670,0.0,0,105.72,82670,0.0,37193,37193,강원
217,32.4,12,0.0,0.0,12,삼척시,1187.0,0,1230,69141,384.1,0,802.9,70371,1.7,34147,34147,강원
218,0.0,10,0.0,0.0,10,홍천군,1820.14,0,0,70961,0.0,0,1820.14,70961,0.0,31851,31851,강원
219,0.0,9,0.0,0.0,9,횡성군,997.75,0,0,46662,0.0,0,997.75,46662,0.0,21283,21283,강원
220,0.0,9,0.0,0.0,9,영월군,1127.61,0,0,40220,0.0,0,1127.61,40220,0.0,20255,20255,강원
221,0.0,8,0.0,0.0,8,평창군,1463.83,0,0,43823,0.0,0,1463.83,43823,0.0,20745,20745,강원
222,0.0,9,0.0,0.0,9,정선군,1219.74,0,0,38995,0.0,0,1219.74,38995,0.0,19571,19571,강원
223,19.7,11,0.0,0.0,11,철원군,889.46,0,0,48699,175.6,0,713.86,48699,0.0,21778,21778,강원
224,12.0,5,0.0,2.6,5,화천군,908.93,337,1466,25023,108.93,0,800.0,26489,5.5,13207,12870,강원
225,7.1,5,0.0,0.2,5,양구군,706.57,18,36,24017,50.0,0,656.57,24053,0.1,11355,11337,강원
226,12.8,6,0.0,7.3,6,인제군,1645.2,1129,2159,32720,210.05,0,1435.15,34879,6.2,15426,14297,강원
227,0.0,6,0.0,0.0,6,고성군,664.28,0,0,30749,0.0,0,664.28,30749,0.0,15377,15377,강원
228,0.0,6,0.0,0.0,6,양양군,630.09,0,0,27502,0.0,0,630.09,27502,0.0,13402,13402,강원
